ipst,mem_bin
icmd24mjq,0.0
icmp02oaq,0.0
o523010g0,0.0
id9927ghq,0.0
ibu859h1q,0.0
ibcd41030,1.0
idwi44bbq,0.0
ibu9hf010,0.0
icn807aaq,1.0
idp44gguq,0.0
ic6dg3ksq,0.0
ieg857010,0.0
idci39btq,0.0
icftc4010,0.0
ibcy39pzq,0.0
idx206c1q,0.0
ic7418010,0.0
ib91lnjyq,0.0
j8i0bmrhq,1.0
icrn07moq,0.0
iaaue1040,0.0
ibh714afq,0.0
idx206boq,0.0
icdm12030,1.0
ich110qpq,0.0
ic3s13cvq,0.0
icu801040,1.0
idi504c9q,0.0
lc4e5bbgq,0.0
ibuc01080,0.0
idfu05gpq,0.0
idov87v0q,0.0
ib4w01imq,0.0
ibzc16r4q,0.0
ibdy06lxq,0.0
ibcx01iaq,1.0
ibyk05xtq,0.0
ie6d01020,1.0
ibv522evq,0.0
icft49010,0.0
ic3f28030,1.0
ib914q010,0.0
idi520agq,0.0
icwa05020,1.0
idup21ijq,0.0
ic3t56j5q,1.0
icqa97010,0.0
ibqs06010,1.0
ics334inq,0.0
ie180d010,0.0
icok22n7q,0.0
idns04e7q,1.0
ic4302w3q,0.0
ib2k68xgq,0.0
idda04sbq,0.0
idfp01010,0.0
ibct3zqtq,0.0
o4si02020,0.0
ie9m82r5q,1.0
icqa59010,0.0
ibc131etq,0.0
ibwp02atq,0.0
idaq02poq,0.0
ibyk07nbq,0.0
icr311040,0.0
idjl51t2q,0.0
idb731cjq,0.0
ib3w44010,0.0
icqr41ebq,0.0
ib4m04010,1.0
ib2k84ygq,0.0
ie0l03jcq,0.0
idp434010,0.0
icg6bpbiq,0.0
ibxa78ohq,0.0
ib9j31d1q,0.0
ic4531ziq,0.0
ic7413jjq,0.0
idgq03040,0.0
ic3ma3jnq,0.0
icaj11olq,1.0
id3z04c8q,0.0
lc9601cgq,0.0
ib7711020,0.0
idi103020,1.0
ibh714fyq,0.0
icqs01g6q,0.0
ie0d03ghq,0.0
idid01m8q,0.0
ic3t16x1q,1.0
ible05h7q,0.0
j8sl07030,0.0
icqs05esq,0.0
ibbse2dzq,0.0
idut38niq,0.0
ic5v02aiq,0.0
iefn02sfq,0.0
icyr2i030,0.0
o5hkbh030,0.0
j8i0cnepq,1.0
id7611010,1.0
ie0l15i7q,0.0
ie1306lpq,0.0
ibtx64peq,0.0
ice042vxq,0.0
id0b35010,0.0
ibca13o6q,0.0
idc72e010,0.0
ibh706h0q,0.0
idms04iyq,0.0
ic6x8q010,0.0
icg6c0010,0.0
iaac12020,0.0
iacr51010,1.0
o5hd03070,0.0
ief758wvq,0.0
id9h01hvq,0.0
idy62lcgq,0.0
icau1cjcq,1.0
o4lyc8010,0.0
id0k59010,0.0
icqa67s6q,0.0
ie8609k0q,0.0
icqa3n010,0.0
ibv524m5q,0.0
ib2k09onq,0.0
ob1001asq,0.0
lcpb05030,0.0
ie8d02npq,0.0
icv101bpq,0.0
ibxa73jfq,0.0
lb5502o4q,0.0
ic3g05t5q,0.0
la8mlvouq,1.0
iduy18q5q,0.0
ice1a1kjq,0.0
ibbsq5010,0.0
icpg14faq,0.0
icir03j3q,0.0
ibf013030,1.0
la8016fbq,0.0
idme01u6q,0.0
iboi6dg6q,1.0
idzh02010,0.0
iac571bmq,0.0
idy602dfq,0.0
ic2821010,1.0
icq144g4q,0.0
icdm79040,1.0
idgbd5020,1.0
j8iva1r3q,0.0
iaan07n4q,0.0
idus08tcq,0.0
icwz46020,1.0
ic3m10dyq,0.0
idor070a0,0.0
ibcdb1150,0.0
iehl05q8q,0.0
icq110a5q,0.0
ie1q35ijq,0.0
idor10060,0.0
idgv02010,1.0
ic3s81f4q,0.0
idc70ufhq,0.0
ibcz21drq,0.0
id0i3c010,0.0
ic0582010,1.0
idq2bvreq,1.0
ibtx93zqq,0.0
ieg627yoq,0.0
ic3g01qvq,0.0
lbnj04d4q,0.0
o57207010,0.0
icyr1f010,0.0
idc977010,0.0
ico501lzq,0.0
icft95emq,0.0
ib913b010,0.0
iac785prq,0.0
idov0ee3q,0.0
ib2k23ryq,0.0
idtl01050,0.0
idov35m4q,0.0
ics328d8q,0.0
iboe3fuvq,0.0
o48z30020,0.0
idbha9030,0.0
id3z04ccq,0.0
iehl04odq,0.0
ic0554g4q,1.0
j90zp1010,0.0
ibs320030,1.0
idsr05xxq,0.0
idme01t6q,0.0
idxf45020,1.0
idb711owq,0.0
id5901eqq,0.0
ic6xdchdq,0.0
icas26010,1.0
icq187y7q,0.0
icq92n010,0.0
ie8d06siq,0.0
ib915h010,0.0
ibsl25040,0.0
ib8cadefq,1.0
idg233mqq,0.0
ibtq21gfq,0.0
ie4n0y030,1.0
idci01czq,0.0
ob1001atq,0.0
ibld48daq,0.0
ice039k2q,0.0
idr104i8q,0.0
ibcna3avq,1.0
ibt2b8030,0.0
ibct11azq,0.0
ieb349020,1.0
ieec67020,1.0
ib91mi010,0.0
ibcx01hjq,1.0
idju04020,0.0
idiq06010,1.0
ic5z06dtq,0.0
ie0l23orq,0.0
id9o46zcq,0.0
ibtp20mkq,0.0
ibcd05010,0.0
ics462h4q,0.0
ie1834010,0.0
icpf07u9q,0.0
icii47xtq,0.0
ie0d14brq,0.0
idmg04m1q,0.0
idns59010,1.0
ic5s15030,0.0
ie184kntq,0.0
id9o17ubq,0.0
iehl05pzq,0.0
ie4n13040,1.0
idkv22010,0.0
o46j01040,0.0
ieg812nsq,0.0
icii17byq,0.0
ibe405fhq,0.0
iacd02neq,1.0
idkv20020,0.0
j8i0cllpq,1.0
ichda9g8q,0.0
idca51z8q,0.0
icau23jaq,1.0
icml03030,1.0
ib2k58zkq,0.0
ibfs04040,1.0
ic5z03h3q,0.0
id8i09dpq,0.0
ib2kacuyq,0.0
idux17j7q,0.0
id9909akq,0.0
iege07080,0.0
idwi07010,0.0
ibu94p010,0.0
o4k19e020,0.0
idgga1s9q,0.0
id9o45csq,0.0
ibct4rulq,0.0
o4fo721k0,0.0
ibcf13b3q,0.0
ibl753awq,0.0
ie1h74y1q,0.0
ie1t02bhq,0.0
o4j801160,0.0
ib91qj010,0.0
idw1050f0,0.0
ids0c0i7q,0.0
idg211guq,0.0
ice134x7q,0.0
idp625phq,0.0
ibwe08030,0.0
idew01030,1.0
ice00daqq,0.0
ido214030,1.0
ie1u0h020,0.0
o58oa80y0,0.0
iegj3lwhq,0.0
iciie4saq,0.0
idy63zoiq,0.0
ibu9e9010,0.0
ie1331m6q,0.0
ibwk04b5q,0.0
icg901c9q,0.0
ids0h0j1q,0.0
ichf03beq,0.0
ibcd61120,0.0
idg204quq,0.0
ibcx04fzq,1.0
idmg05woq,0.0
idg267gmq,0.0
icn806twq,1.0
ic0577awq,1.0
ic8n28ckq,0.0
ibfd16040,1.0
icr304flq,0.0
iby839010,0.0
o6fn010c0,0.0
idnza3saq,0.0
ic5lj3ufq,0.0
ic8k05010,0.0
ib9j1csmq,0.0
idwg0zi8q,0.0
idy655kxq,0.0
ibe213x1q,0.0
idy61rsqq,0.0
icrn10010,0.0
ibjb10k6q,0.0
ibsm21060,0.0
ic5m5h010,0.0
icfc55010,0.0
ibu836ncq,0.0
iby816010,0.0
ibct1mccq,0.0
ibcna1xtq,0.0
icwz29010,1.0
idx5a5piq,0.0
idut89dlq,0.0
ie180qkzq,0.0
ibzc21peq,0.0
ie9m93020,1.0
ic3s85jzq,0.0
ibwm08010,0.0
idg205rrq,0.0
ibbq01mtq,0.0
ie1h24g8q,0.0
icf854010,0.0
j8i0baemq,1.0
idfu03o8q,0.0
ibcx03vuq,1.0
icxv21030,1.0
iege160c0,0.0
idci38c6q,0.0
ich305070,0.0
lce701jyq,0.0
ie4n0d030,1.0
icfs11wqq,0.0
id1m01eqq,0.0
idcd05u2q,0.0
ibwi08090,0.0
lb4c10n9q,0.0
id0b38010,0.0
ic6m4xohq,0.0
idyq7b020,0.0
ibvh03090,0.0
ibwm19010,0.0
ib4v23h2q,0.0
ic2835010,1.0
ich103k3q,0.0
icii89jaq,0.0
ie180cgiq,0.0
ibzy01030,1.0
idx5a4isq,0.0
ic2i16040,1.0
ibtx93zpq,0.0
idmg08c7q,0.0
ie7l03afq,0.0
ief758wxq,0.0
ic6x9r010,0.0
icn401030,0.0
j8ux06pkq,0.0
iduy05qxq,0.0
idca06010,0.0
icqa81xpq,0.0
ic5m39010,0.0
ic5m6d010,0.0
icqu01edq,1.0
ibld94x9q,0.0
icr898j0q,0.0
ie0d43kkq,0.0
ibht14mjq,0.0
ibcd330f0,0.0
ibh706hkq,0.0
idp636gyq,0.0
j8dnc5010,1.0
ic5s030a0,0.0
ibld01a5q,0.0
idci41mcq,0.0
ieav06d6q,1.0
idy61mhqq,0.0
icmdp3050,0.0
j8vz01040,1.0
idp538wqq,0.0
ic1374dlq,1.0
id1x09hrq,1.0
ibu992liq,0.0
idov36cfq,0.0
idc93y010,0.0
o5h701040,0.0
idb734hpq,0.0
ic6m5u010,0.0
idsd01qwq,0.0
icfdj3c3q,0.0
idow13010,0.0
j8i0c0ooq,1.0
iac532gvq,0.0
idnza3weq,0.0
iblc43idq,0.0
ibc307tdq,1.0
ocxb04010,0.0
ibu805apq,0.0
lb8s4navq,0.0
idn022040,1.0
o4k1i4010,0.0
ic5h2abrq,0.0
idms22hnq,0.0
ib7779020,0.0
ibcr10klq,0.0
j8ig01hlq,0.0
idxp21010,0.0
ibcn01xmq,0.0
icdh01030,1.0
idi518isq,0.0
lbbd08owq,0.0
lbpa11rpq,0.0
ibjd02j4q,0.0
ie1948010,0.0
id0d94alq,0.0
ibwk04c5q,0.0
idcw02ciq,0.0
idpya5haq,0.0
ibfe11030,1.0
ieab06llq,0.0
ida902lsq,1.0
ib91jmc5q,0.0
ib916jvbq,0.0
iaar01onq,0.0
j8qj17050,0.0
ibu890syq,0.0
icqu02aiq,1.0
ibc610e0q,0.0
idbha4050,0.0
ib3102040,1.0
ibcf0borq,0.0
ics491lkq,0.0
ic1121030,1.0
idyw33xyq,1.0
ibz134j1q,0.0
ics349m1q,0.0
ic4560pkq,0.0
idy60os9q,0.0
icjl03040,1.0
idi501rcq,0.0
iaao05030,0.0
idan34020,1.0
ie6k06evq,0.0
idp00ioeq,0.0
ib2k0oh0q,0.0
ic6dl2qvq,0.0
icha05oqq,0.0
icqa4a010,0.0
j8uw51020,0.0
ibcd61090,0.0
idy686i0q,0.0
iedk03oeq,0.0
ic8s01010,1.0
idp637o2q,0.0
ieec04020,1.0
idgga3020,1.0
icwk06030,1.0
ibxa85d3q,0.0
ob5k02r5q,0.0
idq27c010,1.0
idp184d6q,0.0
ie9211tsq,0.0
id0b2f010,0.0
ibct17u2q,0.0
idiq16010,1.0
ib91jexiq,0.0
iaaud10a0,0.0
ib6wr8050,1.0
idcd08ueq,0.0
ibbsf0p1q,0.0
ic5za6ebq,0.0
ic3g07tqq,0.0
lbn103a6q,0.0
idme01smq,0.0
ibtp02rlq,0.0
id7o02030,1.0
icdz11lzq,0.0
o5hkf5030,0.0
la9k04pjq,0.0
idx5a5p8q,0.0
ie1b25hmq,0.0
ib3d59jnq,1.0
iege02010,0.0
ibtx53uqq,0.0
ib3t01010,1.0
id2e04boq,0.0
j8qz02020,0.0
ibwu01pnq,0.0
icgy06bfq,0.0
lb4c10naq,0.0
lbb910ggq,0.0
idp624hfq,0.0
ie4n84030,1.0
icha06nhq,0.0
iby07b030,1.0
id8j51qzq,0.0
ics343lqq,0.0
ie1u84030,0.0
ie131bdbq,0.0
id0201010,1.0
iehl09wxq,0.0
ic9r06020,1.0
ich3060b0,0.0
icnk05010,1.0
iclk02050,1.0
iboe3lcyq,1.0
ibh706dbq,0.0
idcn01dyq,0.0
idb80uroq,0.0
j8qu02030,0.0
ib91n9qdq,0.0
ics345p2q,0.0
icqa57010,0.0
ic7465fyq,0.0
ib2k20nhq,0.0
ie1807010,0.0
iaatb20b0,1.0
idwl06xfq,0.0
oa9j02040,0.0
o5ao05030,0.0
idg264edq,0.0
idx703dhq,0.0
lbmxc3b5q,0.0
idwi42010,0.0
ibu950010,0.0
ibu9bid4q,0.0
idy62uhlq,0.0
ibwva3fsq,0.0
icqu05060,0.0
ib9j0an2q,0.0
idp41vkiq,0.0
ibu404ipq,0.0
ibztb3030,1.0
ic6di1i0q,0.0
idc91u010,0.0
idx5a4j2q,0.0
ids901020,0.0
iche13n9q,0.0
o4nx06010,0.0
ics332iyq,0.0
iac719ayq,0.0
ibwh10070,0.0
ibcr07htq,0.0
idf505mpq,0.0
icnl01050,1.0
id9913dmq,0.0
obpw01080,0.0
idgg58030,1.0
id9902uaq,0.0
ibjda2k3q,0.0
iciig0k1q,0.0
idp456oxq,0.0
idwg4g010,0.0
oc84042o0,0.0
idme01xgq,0.0
ic1307uyq,1.0
ie7l08u8q,0.0
iddc05jcq,0.0
idwc31dmq,0.0
idn016030,1.0
idgq070c0,0.0
ie7x10a5q,0.0
ida970030,1.0
idbha0030,0.0
ibtw04acq,0.0
ic5z10oiq,0.0
idov85dfq,0.0
idy630l5q,0.0
ibct96ayq,0.0
idp134vfq,0.0
ibbsy1qwq,0.0
ibxa73k7q,0.0
icq1z2nmq,0.0
icpp04ltq,0.0
ic3f09040,1.0
ice079luq,0.0
ibsq51g0q,1.0
id2f19p0q,0.0
icwy02inq,0.0
id0ne4qgq,0.0
ie1952010,0.0
ict902uiq,0.0
idpyc3etq,0.0
lbp413e0q,0.0
idci14mhq,0.0
lbs314ooq,0.0
obkf200b0,0.0
o4dv01ueq,0.0
ibsx04030,1.0
ib91lya4q,0.0
ibu315msq,0.0
idwg1t010,0.0
ics341srq,0.0
ie4n69040,1.0
iefk54avq,0.0
ibc144ywq,0.0
ib3805v1q,0.0
idb791vnq,0.0
icqx01txq,1.0
ictn12h1q,0.0
id0d0fc9q,0.0
idy678x7q,0.0
icq180p2q,0.0
idg215hzq,0.0
idcw02cmq,0.0
icnk01010,1.0
iedk48l8q,0.0
ic5w02esq,1.0
idj301xaq,0.0
idgq100a0,0.0
id2f32i9q,0.0
lbxm1bupq,0.0
ibf718040,1.0
id0p06j6q,0.0
icss02j3q,0.0
la9k03egq,0.0
idb608040,1.0
idwf02mwq,0.0
j8ig05req,0.0
ibyk05xuq,0.0
icqa84010,0.0
ocvs04c0q,0.0
icok07bfq,0.0
ibwf01eyq,0.0
ibfh20040,1.0
j8i0bhksq,1.0
idms01weq,0.0
o4gm01020,0.0
iddl03izq,0.0
id3z01rfq,0.0
ic5lk1qlq,0.0
o44x33010,0.0
ic6m7jesq,0.0
idf503v7q,0.0
ibti03020,0.0
lbrj05foq,0.0
lb1v09nrq,0.0
ibuc53060,0.0
ic5m5v010,0.0
ic5p03080,0.0
ib912k010,0.0
ictn18n0q,0.0
ibxb07020,0.0
ibrl23h2q,1.0
idfr02cgq,1.0
idup41ejq,0.0
icx706goq,0.0
ids0d0gdq,0.0
lce31xwpq,0.0
ibh714hdq,0.0
icii97epq,0.0
ic2857010,1.0
ic74cpkgq,0.0
ieev04040,0.0
j6lp02010,2.0
id9o17uhq,0.0
ich312070,0.0
ic3t43mhq,1.0
iby880020,0.0
ief705o1q,0.0
ocga06020,0.0
ibbst5siq,0.0
ic4484010,0.0
idp121wpq,0.0
idl830010,1.0
iedn28020,0.0
ibsua3pfq,1.0
idgq11080,0.0
icua94010,0.0
ibvt2atdq,0.0
icmd71020,0.0
idcd08ulq,0.0
id6i04040,1.0
o44x49040,0.0
ie7y07010,0.0
icrv01020,0.0
ib4w03faq,0.0
icd601bmq,1.0
idwo03ihq,0.0
j8i0cmu2q,1.0
ib3509q0q,0.0
idq219010,1.0
ic5s04070,0.0
icqr54v4q,0.0
id5g04030,1.0
icq193hxq,0.0
id7656010,1.0
ibwi02030,0.0
icaf02040,0.0
idut87doq,0.0
ic4103010,0.0
idvw82010,0.0
lbbd01guq,0.0
idbha2040,0.0
ides05020,0.0
icsr01kyq,0.0
ics456mbq,0.0
ie3o01020,1.0
icvb12cqq,0.0
ib3513eyq,0.0
icpp24l1q,0.0
ie3b37020,0.0
ibbszjb3q,0.0
lb8s3mc3q,0.0
ieag98010,1.0
ibfs05040,1.0
oc8409bdq,0.0
ibls1uohq,0.0
idy405030,1.0
iac762lbq,0.0
idx704liq,0.0
icr003dxq,0.0
o5hd61070,0.0
ic5lb1soq,0.0
idb850yuq,0.0
icvbb4fvq,0.0
icph7eovq,1.0
ic3g05t6q,0.0
idj554020,1.0
ibl970xmq,0.0
ico501jwq,0.0
ib1b79020,0.0
ic5p030c0,0.0
idp604dxq,0.0
ids0c0huq,0.0
o5hkf10e0,0.0
lbmxh5ifq,0.0
ic5la3wiq,0.0
ieec67010,1.0
ie37qaikq,0.0
idx203jjq,0.0
ib9j0amyq,0.0
oc84042d0,0.0
icii67q9q,0.0
iciif4juq,0.0
ic3g14vpq,0.0
ibxa73k6q,0.0
lbji09h3q,0.0
idd401010,0.0
j8i0b8ebq,1.0
ocv5b10g0,0.0
ibr701010,1.0
ic6dl3q3q,0.0
idwf01ktq,0.0
idgbp0020,1.0
iccx01010,0.0
icq93b010,0.0
id2f14t8q,0.0
ic6dl3qeq,0.0
ic7441fuq,0.0
iebjcw010,0.0
iedk07c0q,0.0
ibtp16mkq,0.0
idwg03010,0.0
ibc602v7q,1.0
idn403kbq,0.0
icqs12m3q,0.0
ibxa61ifq,0.0
idc93qrxq,0.0
id3z03aiq,0.0
ib91ow010,0.0
iehr02lwq,1.0
j8q907140,0.0
ic5m51aaq,0.0
iecs43020,1.0
ibxa82cjq,0.0
id0d78kyq,0.0
idpya8igq,0.0
ibu861a2q,0.0
icua96010,0.0
ibcd330d0,0.0
idb642030,1.0
idb7a1qiq,0.0
ib7794030,0.0
icxa01zlq,0.0
idov0lixq,0.0
iddt12040,0.0
icck01020,0.0
idvz12d1q,0.0
o4an020c0,0.0
idb820ijq,0.0
icqa0p010,0.0
ib1b0qzdq,0.0
ib9158k3q,0.0
ib3511ezq,0.0
lcdr23o3q,0.0
idhd10030,1.0
icii90jwq,0.0
idp161e0q,0.0
idb751dcq,0.0
ic8x21040,1.0
icq150etq,0.0
lbhx0sdxq,0.0
idpya8ibq,0.0
ibu521ljq,0.0
ib91a7hqq,0.0
ibwk04c1q,0.0
ib2k71iwq,0.0
oc1f01020,0.0
ie6x47esq,0.0
ictd36010,1.0
icdx34010,1.0
o56302050,0.0
idy60ukoq,0.0
icdx7z010,1.0
idot3s010,0.0
iaaue10e0,0.0
j8i0a8bdq,1.0
iby712010,1.0
iblk80roq,0.0
idda02arq,0.0
idwg2l010,0.0
ibl906vrq,1.0
ibvi50czq,0.0
ie3y02040,1.0
ic2m05ezq,0.0
idjo06bgq,0.0
id0i3i010,0.0
icpf23h2q,0.0
ibh708s3q,0.0
iac750wvq,0.0
icpp04lsq,0.0
iby81q010,0.0
ib9j52uxq,0.0
idy60sitq,0.0
iblk0admq,0.0
la8m02oxq,0.0
ief714i3q,0.0
o5dh01090,0.0
iecs41ogq,1.0
ie0l26rtq,0.0
id2f32ieq,0.0
iduv10030,0.0
ib4a55010,1.0
idxr17040,1.0
idp610k4q,0.0
ie1c3xlmq,0.0
iac719azq,0.0
ibf2a8weq,1.0
o6fn01caq,0.0
ib5205010,0.0
ib2k36yyq,0.0
ocv5c10f0,0.0
ie0g01010,0.0
iehl06syq,0.0
idy611hdq,0.0
iege160e0,0.0
lcao93qwq,0.0
o5cx030i0,0.0
j9irw3fcq,1.0
ibtm8bkfq,1.0
o42354020,0.0
ic6m0h010,0.0
ibucb5bnq,0.0
icdx2c010,1.0
ic6xb1010,0.0
ib3n01040,1.0
icft75010,0.0
lb8r3ic6q,0.0
ie4t08030,1.0
ib91nl010,0.0
ic5t02ckq,0.0
lbk201odq,0.0
o58504030,0.0
idwg83z8q,0.0
ibvi36bmq,0.0
ib911nnxq,0.0
ie194d010,0.0
ie1957a8q,0.0
o55q06010,0.0
ida908kdq,1.0
lbx806d5q,0.0
ic6m6ha5q,0.0
icdm76050,1.0
id7613010,1.0
idan85020,1.0
ie8d04rqq,0.0
idux35ewq,0.0
ibld88asq,0.0
ieib02xkq,0.0
icc502050,1.0
ibol05fxq,0.0
j9i413bnq,0.0
ibhj70040,0.0
ib4v21gmq,0.0
j8c1030g0,0.0
ibwk04c4q,0.0
idy62dhhq,0.0
ibxa32dpq,0.0
ib3806vnq,0.0
idr103f7q,0.0
idkv35010,0.0
iccz78svq,0.0
ibxa75lmq,0.0
ic5ld4vkq,0.0
ibwk04awq,0.0
j8i0ani3q,1.0
o5ew08030,0.0
labo01030,0.0
ie9m09d3q,1.0
ic9t39heq,0.0
ib917ks3q,0.0
ib91gn010,0.0
icr311zlq,0.0
icii55elq,0.0
o5fx2y020,0.0
idy639k7q,0.0
iciw03060,0.0
ibs301040,1.0
idda11cvq,0.0
iciia1ieq,0.0
id9906z8q,0.0
ief746w2q,0.0
idwi0x010,0.0
icqa0s010,0.0
icq962xbq,0.0
icd011cdq,0.0
ib2k0pa5q,0.0
iciid1i8q,0.0
ic6da8cvq,0.0
ibwn02veq,0.0
ie0d65kzq,0.0
ib2k04qgq,0.0
ibu513prq,0.0
ibvt1al8q,0.0
idn402jzq,0.0
la8q940h0,0.0
iaau53xtq,0.0
ibh714hlq,0.0
ie3w05030,1.0
idx203jpq,0.0
idwe01010,1.0
idyz05gsq,0.0
ie7l10lzq,0.0
j9irw5joq,1.0
iac50cpeq,0.0
idok06kdq,0.0
iegk59ycq,0.0
i9zf11010,0.0
id0o14tpq,0.0
jcrf01gbq,0.0
ibxe54l1q,0.0
ic6xbvu8q,0.0
ics404cnq,0.0
idy60lbfq,0.0
iegk52gjq,0.0
icfdf4dcq,0.0
idus30blq,0.0
idp050maq,0.0
ibjdb1f7q,0.0
icdm62030,1.0
ib2k72k1q,0.0
ic5za5j3q,0.0
ibf2b3030,1.0
ibwjgnafq,1.0
ic8v10glq,0.0
idp052l4q,0.0
idy61bxxq,0.0
ie0l36i6q,0.0
ieg810w7q,0.0
ie0l03jkq,0.0
iby703010,1.0
ibjg09biq,0.0
idx701qtq,0.0
id0i3w010,0.0
ib3d19010,1.0
ic7p07030,0.0
j6fy07020,0.0
iby81tfsq,0.0
ichb02020,1.0
idp530a6q,0.0
ie7y08030,0.0
ibu604clq,0.0
ibwi03090,0.0
ib9j24szq,0.0
ics303drq,0.0
ics327m1q,0.0
ic4920wsq,0.0
ie1u10030,0.0
icq10lo0q,0.0
iboe6rm4q,1.0
ieag98i0q,0.0
lccl22tuq,0.0
idms04ioq,0.0
icok12voq,0.0
ib913e010,0.0
ic5m58010,0.0
ibld79g0q,0.0
ie7h07060,0.0
icdm62050,1.0
ib91g0010,0.0
id8027mtq,1.0
ictn08010,0.0
ie0l26rmq,0.0
idp539wuq,0.0
ibtx41fjq,0.0
ie7h030e0,0.0
idx5a1hnq,0.0
icpw1r010,0.0
icmdp9050,0.0
ibc121yeq,0.0
id2c04gxq,0.0
ice084rgq,0.0
icii15rlq,0.0
id5o37010,1.0
iby818010,0.0
lb6507t5q,0.0
iegj37010,0.0
ie1c2w010,0.0
laa110030,0.0
ie1926010,0.0
iehl08v2q,0.0
ib91d7wbq,0.0
lbb911zjq,0.0
idy62uhkq,0.0
ich3050d0,0.0
ibbsa0kmq,0.0
j9i413b8q,0.0
ibvi91caq,0.0
o4lyee020,0.0
icrn12020,0.0
ie7h09070,0.0
idxb37010,1.0
iddj03iuq,0.0
ic1393010,1.0
ib91at010,0.0
ic6m1q010,0.0
iefk11ipq,0.0
o5c901070,0.0
ichl01k4q,0.0
ibsr02030,1.0
ibeo66rwq,1.0
icpw1o010,0.0
icr895hsq,0.0
iaan09ohq,0.0
idwi1w010,0.0
icir10aiq,0.0
icdm18070,1.0
idg267gqq,0.0
ie0d0yxnq,0.0
ibfr15040,1.0
ie4n91030,1.0
j90zy1070,0.0
idb846haq,0.0
laa005leq,0.0
ib2e01vxq,0.0
iblb8bmrq,0.0
idus37zpq,0.0
o5gj0q010,0.0
ldcv02080,0.0
ibxd11hmq,0.0
ibct0ncsq,0.0
ic5lh1rdq,0.0
ic9k07vwq,1.0
ief730hpq,0.0
idut65pcq,0.0
icrz27jvq,0.0
idmy17010,1.0
ics307toq,0.0
ibsl170a0,0.0
idh003onq,0.0
ida910otq,1.0
ibmd31dvq,0.0
lb2a20tgq,0.0
ie7h010f0,0.0
ibcd630a0,1.0
ibxa62o9q,0.0
idp183crq,0.0
idci33c8q,0.0
ib917f010,0.0
id3q01020,0.0
idup11o6q,0.0
